activity_code,activity_name_original,source_column_original,legacy_middle_category,model_middle_category,mapping_status,preference_model_status,include_in_policy_category
12,악기연주/노래교실,한 번 이상 참여한 여가활동 - (12) 악기연주/노래교실,문화체험,문화체험,기존 분류 유지,선호확률 산출,True
13,전통예술 참여 및 배우기(국악 연주^ 사물놀이^ 줄타기 등 학습활동),한 번 이상 참여한 여가활동 - (13) 전통예술 참여 및 배우기(국악 연주^ 사물놀이^ 줄타기 등 학습활동),문화체험,문화체험,기존 분류 유지,선호확률 산출,True
14,사진촬영(디지털카메라 포함),한 번 이상 참여한 여가활동 - (14) 사진촬영(디지털카메라 포함),미술,미술,기존 분류 유지,선호확률 산출,True
15,춤/무용(발레^ 한국무용^ 현대무용^ 방송댄스^ 스트릿댄스 등),한 번 이상 참여한 여가활동 - (15) 춤/무용(발레^ 한국무용^ 현대무용^ 방송댄스^ 스트릿댄스 등),문화체험,문화체험,기존 분류 유지,선호확률 산출,True
16,스포츠 경기 직접관람- 경기장방문관람(축구^ 야구^ 농구^ 배구 등),한 번 이상 참여한 여가활동 - (16) 스포츠 경기 직접관람- 경기장방문관람(축구^ 야구^ 농구^ 배구 등),스포츠 관람,스포츠관람,기존 분류 유지,선호확률 산출,True
17,스포츠 경기 간접관람- 매체(TV^ 온라인·모바일)를 통한 관람(축구^ 야구^ 농구^ 배구 등),한 번 이상 참여한 여가활동 - (17) 스포츠 경기 간접관람- 매체(TV^ 온라인·모바일)를 통한 관람(축구^ 야구^ 농구^ 배구 등),영상,영상,기존 분류 유지,선호확률 산출,True
18,격투 스포츠 경기관람(태권도^ 유도^ 합기도^ 검도^ 권투 등),한 번 이상 참여한 여가활동 - (18) 격투 스포츠 경기관람(태권도^ 유도^ 합기도^ 검도^ 권투 등),스포츠 관람,스포츠관람,기존 분류 유지,선호확률 산출,True
19,온라인게임 경기관람(e-스포츠 경기 포함),한 번 이상 참여한 여가활동 - (19) 온라인게임 경기관람(e-스포츠 경기 포함),스포츠 관람,스포츠관람,기존 분류 유지,선호확률 산출,True
20,농구^ 배구^ 야구^ 축구^ 족구,한 번 이상 참여한 여가활동 - (20) 농구^ 배구^ 야구^ 축구^ 족구,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
21,테니스^ 스쿼시,한 번 이상 참여한 여가활동 - (21) 테니스^ 스쿼시,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
22,당구/포켓볼,한 번 이상 참여한 여가활동 - (22) 당구/포켓볼,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
23,볼링^ 탁구,한 번 이상 참여한 여가활동 - (23) 볼링^ 탁구,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
24,골프,한 번 이상 참여한 여가활동 - (24) 골프,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
25,수영,한 번 이상 참여한 여가활동 - (25) 수영,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
26,윈드서핑^ 수상스키^ 스킨스쿠버다이빙^ 래프팅^ 요트,한 번 이상 참여한 여가활동 - (26) 윈드서핑^ 수상스키^ 스킨스쿠버다이빙^ 래프팅^ 요트,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
27,스노보드^ 스키 등,한 번 이상 참여한 여가활동 - (27) 스노보드^ 스키 등,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
28,아이스스케이트^ 아이스하키 등,한 번 이상 참여한 여가활동 - (28) 아이스스케이트^ 아이스하키 등,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
29,헬스(PT^보디빌딩)/에어로빅/크로스핏,한 번 이상 참여한 여가활동 - (29) 헬스(PT^보디빌딩)/에어로빅/크로스핏,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
30,요가/필라테스/태보,한 번 이상 참여한 여가활동 - (30) 요가/필라테스/태보,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
31,배드민턴/줄넘기/맨손·스트레칭 체조/훌라후프,한 번 이상 참여한 여가활동 - (31) 배드민턴/줄넘기/맨손·스트레칭 체조/훌라후프,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
32,러닝/조깅/마라톤,한 번 이상 참여한 여가활동 - (32) 러닝/조깅/마라톤,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
33,격투 스포츠(태권도^ 유도^ 합기도^ 검도^ 권투 등),한 번 이상 참여한 여가활동 - (33) 격투 스포츠(태권도^ 유도^ 합기도^ 검도^ 권투 등),체육시설,체육시설,기존 분류 유지,선호확률 산출,True
34,댄스스포츠(탱고^ 왈츠^ 자이브^ 맘보^ 폴카^ 차차차 등),한 번 이상 참여한 여가활동 - (34) 댄스스포츠(탱고^ 왈츠^ 자이브^ 맘보^ 폴카^ 차차차 등),체육시설,체육시설,기존 분류 유지,선호확률 산출,True
35,사이클링/산악자전거,한 번 이상 참여한 여가활동 - (35) 사이클링/산악자전거,체육용품,기타·문화누리 비대응,기타로 통합,미산출(직접 선호라벨 부족),False
36,인라인스케이트,한 번 이상 참여한 여가활동 - (36) 인라인스케이트,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
37,승마^ 암벽등반^ 철인삼종경기^ 서바이벌,한 번 이상 참여한 여가활동 - (37) 승마^ 암벽등반^ 철인삼종경기^ 서바이벌,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
38,문화유적방문(고궁^ 절^ 유적지 등),한 번 이상 참여한 여가활동 - (38) 문화유적방문(고궁^ 절^ 유적지 등),관광지,관광지,기존 분류 유지,선호확률 산출,True
39,자연명승 및 풍경 관람,한 번 이상 참여한 여가활동 - (39) 자연명승 및 풍경 관람,관광지,관광지,기존 분류 유지,선호확률 산출,True
40,삼림욕,한 번 이상 참여한 여가활동 - (40) 삼림욕,관광지,관광지,기존 분류 유지,선호확률 산출,True
41,국내캠핑,한 번 이상 참여한 여가활동 - (41) 국내캠핑,관광지,관광지,기존 분류 유지,선호확률 산출,True
42,해외여행,한 번 이상 참여한 여가활동 - (42) 해외여행,여행사,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
43,소풍^ 야유회 (생활관광),한 번 이상 참여한 여가활동 - (43) 소풍^ 야유회 (생활관광),관광지,관광지,기존 분류 유지,선호확률 산출,True
44,온천/해수욕,한 번 이상 참여한 여가활동 - (44) 온천/해수욕,관광지,관광지,기존 분류 유지,선호확률 산출,True
45,유람선^ 요트 투어,한 번 이상 참여한 여가활동 - (45) 유람선^ 요트 투어,관광지,관광지,기존 분류 유지,선호확률 산출,True
46,놀이공원 가기(워터파크^ 동물원^ 식물원^ 수족관^ 동물농장 포함),한 번 이상 참여한 여가활동 - (46) 놀이공원 가기(워터파크^ 동물원^ 식물원^ 수족관^ 동물농장 포함),관광지,관광지,기존 분류 유지,선호확률 산출,True
47,지역축제 참가,한 번 이상 참여한 여가활동 - (47) 지역축제 참가,관광지,관광지,기존 분류 유지,선호확률 산출,True
48,자동차 드라이브,한 번 이상 참여한 여가활동 - (48) 자동차 드라이브,교통수단,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
49,수집활동(스크랩 포함),한 번 이상 참여한 여가활동 - (49) 수집활동(스크랩 포함),분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
50,생활공예(십자수^ 비즈공예^ D.I.Y^ 꽃꽂이 등),한 번 이상 참여한 여가활동 - (50) 생활공예(십자수^ 비즈공예^ D.I.Y^ 꽃꽂이 등),문화체험,문화체험,기존 분류 유지,선호확률 산출,True
51,요리하기/다도,한 번 이상 참여한 여가활동 - (51) 요리하기/다도,문화체험,문화체험,기존 분류 유지,선호확률 산출,True
52,반려동물 돌보기,한 번 이상 참여한 여가활동 - (52) 반려동물 돌보기,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
53,노래연습장 가기(코인노래방 포함),한 번 이상 참여한 여가활동 - (53) 노래연습장 가기(코인노래방 포함),분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
54,인테리어(집^ 자동차 등),한 번 이상 참여한 여가활동 - (54) 인테리어(집^ 자동차 등),분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
55,등산,한 번 이상 참여한 여가활동 - (55) 등산,관광지,관광지,기존 분류 유지,선호확률 산출,True
56,낚시,한 번 이상 참여한 여가활동 - (56) 낚시,체육시설,체육시설,기존 분류 유지,선호확률 산출,True
57,홈페이지/블로그 관리,한 번 이상 참여한 여가활동 - (57) 홈페이지/블로그 관리,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
58,인터넷 검색/1인 미디어 제작/SNS/영상편집,한 번 이상 참여한 여가활동 - (58) 인터넷 검색/1인 미디어 제작/SNS/영상편집,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
59,게임(온라인/모바일/콘솔게임 등),한 번 이상 참여한 여가활동 - (59) 게임(온라인/모바일/콘솔게임 등),분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
60,보드게임/퍼즐/큐브 맞추기,한 번 이상 참여한 여가활동 - (60) 보드게임/퍼즐/큐브 맞추기,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
61,바둑/장기/체스,한 번 이상 참여한 여가활동 - (61) 바둑/장기/체스,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
62,겜블(경마^ 경륜^ 카지노^ 카드놀이^ 고스톱^ 마작 등)/복권구입,한 번 이상 참여한 여가활동 - (62) 겜블(경마^ 경륜^ 카지노^ 카드놀이^ 고스톱^ 마작 등)/복권구입,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
63,쇼핑/외식,한 번 이상 참여한 여가활동 - (63) 쇼핑/외식,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
64,음주,한 번 이상 참여한 여가활동 - (64) 음주,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
65,독서(웹소설 포함),한 번 이상 참여한 여가활동 - (65) 독서(웹소설 포함),도서,도서,기존 분류 유지,선호확률 산출,True
66,만화보기(웹툰 포함),한 번 이상 참여한 여가활동 - (66) 만화보기(웹툰 포함),도서,도서,기존 분류 유지,선호확률 산출,True
67,미용(피부관리^ 헤어관리^ 네일아트^ 마사지^ 성형 등),한 번 이상 참여한 여가활동 - (67) 미용(피부관리^ 헤어관리^ 네일아트^ 마사지^ 성형 등),분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
68,어학/기술/자격증 취득 공부^ 학원 등 이용,한 번 이상 참여한 여가활동 - (68) 어학/기술/자격증 취득 공부^ 학원 등 이용,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
69,이색/테마카페 체험(방탈출^ VR^ 낚시카페 등),한 번 이상 참여한 여가활동 - (69) 이색/테마카페 체험(방탈출^ VR^ 낚시카페 등),문화체험,문화체험,기존 분류 유지,선호확률 산출,True
70,원예(화분^ 화단가꾸기 등),한 번 이상 참여한 여가활동 - (70) 원예(화분^ 화단가꾸기 등),분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
71,산책 및 걷기,한 번 이상 참여한 여가활동 - (71) 산책 및 걷기,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
72,목욕/사우나/찜질방,한 번 이상 참여한 여가활동 - (72) 목욕/사우나/찜질방,관광지,관광지,기존 분류 유지,선호확률 산출,True
73,낮잠,한 번 이상 참여한 여가활동 - (73) 낮잠,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
74,TV시청(IPTV 포함),한 번 이상 참여한 여가활동 - (74) TV시청(IPTV 포함),영상,영상,기존 분류 유지,선호확률 산출,True
75,온라인 및 모바일 동영상 시청(OTT 시청 포함),한 번 이상 참여한 여가활동 - (75) 온라인 및 모바일 동영상 시청(OTT 시청 포함),영상,영상,기존 분류 유지,선호확률 산출,True
76,라디오/팟캐스트 청취,한 번 이상 참여한 여가활동 - (76) 라디오/팟캐스트 청취,음악,기타·문화누리 비대응,기타로 통합,정책범위 제외(기타 선택지로 통합),False
77,음악 감상(스트리밍서비스 포함),한 번 이상 참여한 여가활동 - (77) 음악 감상(스트리밍서비스 포함),음악,기타·문화누리 비대응,기타로 통합,정책범위 제외(기타 선택지로 통합),False
78,신문/잡지보기,한 번 이상 참여한 여가활동 - (78) 신문/잡지보기,도서,도서,기존 분류 유지,선호확률 산출,True
79,아무것도 안 하기,한 번 이상 참여한 여가활동 - (79) 아무것도 안 하기,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
80,사회봉사활동,한 번 이상 참여한 여가활동 - (80) 사회봉사활동,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
81,종교활동,한 번 이상 참여한 여가활동 - (81) 종교활동,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
82,클럽/나이트/디스코/캬바레/콜라텍 가기,한 번 이상 참여한 여가활동 - (82) 클럽/나이트/디스코/캬바레/콜라텍 가기,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
83,가족 및 친지방문,한 번 이상 참여한 여가활동 - (83) 가족 및 친지방문,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
84,잡담/통화하기/문자보내기(모바일 메신저 메시지 사용 포함),한 번 이상 참여한 여가활동 - (84) 잡담/통화하기/문자보내기(모바일 메신저 메시지 사용 포함),분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
85,계모임/동창회/사교(파티)모임,한 번 이상 참여한 여가활동 - (85) 계모임/동창회/사교(파티)모임,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
86,친구만남/이성교제/미팅/소개팅,한 번 이상 참여한 여가활동 - (86) 친구만남/이성교제/미팅/소개팅,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
87,동호회 모임,한 번 이상 참여한 여가활동 - (87) 동호회 모임,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
88,위에서 분류되지 않은 기타 여가활동,한 번 이상 참여한 여가활동 - (88) 위에서 분류되지 않은 기타 여가활동,분류범위외,기타·문화누리 비대응,기타로 통합,분석범위외(기타 선택지로 통합),False
